,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness,betweenness/min-shell,closeness/min-shell,eigenvector/min-shell,bridging/min-shell,min-shell,cluster_betweenness
63,YDL115C,8,0,4,3,5.83E-05,5.90E-05,0.239557675,1.46E-05,5,62,7,0.041834425,0.516949153,1.94E-05,0.079852558,1.97E-05,4.87E-06,3,0.000920634
64,YDL108W,40,1,4,2,0.001098409,5.52E-05,0.26161859,1.91E-05,5,62,28,0.138767506,0.628865979,0.000549205,0.130809295,2.76E-05,9.55E-06,2,0.019995434
65,YPR025C,26,1,4,3,0.000334157,1.86E-05,0.250369721,1.41E-05,5,62,18,0.09404311,0.559633028,0.000111386,0.083456574,6.21E-06,4.69E-06,3,0.001962862
66,YML010W,50,1,4,2,0.001582315,0.000555252,0.265077708,1.22E-05,5,62,36,0.143608994,0.709302326,0.000791158,0.132538854,0.000277626,6.11E-06,2,0.085375514
67,YOR352W,10,0,5,3,0,5.62E-06,0.216706964,0,5,62,10,0.052681343,0.451851852,0,0.072235655,1.87E-06,0,3,0
68,YGL244W,22,0,4,2,6.96E-05,5.47E-05,0.252415926,4.25E-06,5,62,14,0.05783998,0.554545455,3.48E-05,0.126207963,2.74E-05,2.13E-06,2,0.001540314
69,YGL043W,52,0,4,1,0.001265994,0.000265083,0.262973191,1.19E-05,5,62,37,0.180790333,0.717647059,0.001265994,0.262973191,0.000265083,1.19E-05,1,0.037134645
70,YBR279W,13,0,4,2,1.00E-05,4.48E-05,0.244373162,2.18E-06,5,62,10,0.045915946,0.530434783,5.01E-06,0.122186581,2.24E-05,1.09E-06,2,0.000149031
71,YDR404C,54,1,4,2,0.00031778,0.000605605,0.259996587,4.23E-06,5,62,35,0.189255233,0.693181818,0.00015889,0.129998294,0.000302803,2.11E-06,2,0.012511927
72,YLR243W,6,1,4,3,1.21E-05,0.000316009,0.237048177,5.96E-06,5,62,5,0.022255027,0.455223881,4.02E-06,0.079016059,0.000105336,1.99E-06,3,0.000355191
73,YJR063W,55,0,4,2,0.000298544,0.008943798,0.257564659,6.06E-06,5,62,14,0.078582202,0.544642857,0.000149272,0.128782329,0.004471899,3.03E-06,2,0.002880885
74,YGR116W,37,1,3,2,0.001314164,0.000245256,0.265508829,3.61E-05,5,62,19,0.090978754,0.586538462,0.000657082,0.132754414,0.000122628,1.80E-05,2,0.004649748
75,YDR460W,39,1,4,3,0.000768345,0.000125123,0.25821941,1.69E-05,5,62,31,0.172239815,0.655913978,0.000256115,0.086073137,4.17E-05,5.65E-06,3,0.008083407
76,YJR072C,6,1,4,3,3.61E-05,3.28E-05,0.233822702,1.20E-05,5,62,5,0.025318424,0.508333333,1.20E-05,0.077940901,1.09E-05,3.99E-06,3,0.000920634
77,YGR063C,36,0,4,2,0.001053329,0.000137089,0.259068238,2.59E-05,5,62,28,0.131101193,0.64893617,0.000526664,0.129534119,6.85E-05,1.29E-05,2,0.015599122
78,YOR151C,66,1,3,2,0.003065986,0.000604674,0.275760135,2.07E-05,5,62,40,0.196859614,0.743902439,0.001532993,0.137880068,0.000302337,1.04E-05,2,0.039617159
79,YPL122C,34,1,4,2,0.000101639,0.000126951,0.252778853,3.81E-06,5,62,30,0.174325556,0.64893617,5.08E-05,0.126389427,6.35E-05,1.90E-06,2,0.003958045
80,YJL140W,59,0,4,2,0.000668989,0.000771534,0.26256534,7.53E-06,5,62,34,0.187381593,0.693181818,0.000334494,0.13128267,0.000385767,3.77E-06,2,0.012154769
81,YOL145C,24,0,4,2,0.001153342,5.66E-05,0.250658039,2.56E-05,5,62,15,0.059565734,0.554545455,0.000576671,0.12532902,2.83E-05,1.28E-05,2,0.033978964
82,YOR224C,68,1,4,2,0.000959449,0.002978569,0.26701326,8.52E-06,5,62,31,0.17321186,0.663043478,0.000479725,0.13350663,0.001489285,4.26E-06,2,0.012959029
83,YGR005C,35,1,4,2,0.000401101,0.000131592,0.25156852,8.80E-06,5,62,28,0.168280853,0.642105263,0.000200551,0.12578426,6.58E-05,4.40E-06,2,0.002829075
84,YJR017C,10,1,4,3,0.00057216,1.43E-05,0.25045203,8.51E-05,5,62,4,0.01705615,0.495934959,0.00019072,0.08348401,4.75E-06,2.84E-05,3,0.000473588
85,YLR226W,10,0,4,3,4.90E-06,1.04E-05,0.233906458,1.07E-06,5,62,10,0.032424675,0.525862069,1.63E-06,0.077968819,3.48E-06,3.58E-07,3,0.002358907
86,YGL070C,48,0,4,2,0.000125907,0.000321689,0.25586342,2.22E-06,5,62,32,0.179965313,0.67032967,6.30E-05,0.12793171,0.000160844,1.11E-06,2,0.008484029
87,YDR289C,15,0,4,3,0.000166954,3.39E-05,0.249182294,1.31E-05,5,62,5,0.028858065,0.5,5.57E-05,0.083060765,1.13E-05,4.36E-06,3,0
88,YPR187W,71,1,4,2,0.001201775,0.002462847,0.267153711,9.08E-06,5,62,35,0.186463236,0.693181818,0.000600888,0.133576856,0.001231423,4.54E-06,2,0.021250737
89,YBR236C,7,1,3,3,0.000143195,1.28E-05,0.238221805,2.50E-05,5,62,5,0.018402908,0.504132231,4.77E-05,0.079407268,4.28E-06,8.32E-06,3,0.002426604
90,YHR143W-A,68,1,4,2,0.000847038,0.001660674,0.263109423,6.85E-06,5,62,30,0.170602863,0.655913978,0.000423519,0.131554711,0.000830337,3.42E-06,2,0.011747256
91,YOR194C,27,1,4,3,3.04E-05,0.000123807,0.251250481,2.02E-06,5,62,24,0.150233404,0.61,1.01E-05,0.08375016,4.13E-05,6.75E-07,3,0.000592106
92,YOR123C,24,0,4,2,0.000825139,5.73E-05,0.260263053,2.72E-05,5,62,16,0.068707666,0.559633028,0.000412569,0.130131527,2.87E-05,1.36E-05,2,0.00229604
93,YGL130W,4,1,4,3,1.77E-05,7.87E-06,0.227311154,8.75E-06,5,62,4,0.013680675,0.495934959,5.89E-06,0.075770385,2.62E-06,2.92E-06,3,0.001201159
94,YBR154C,85,1,3,2,0.003797593,0.003604738,0.277030303,1.37E-05,5,62,36,0.182946839,0.701149425,0.001898796,0.138515152,0.001802369,6.86E-06,2,0.033608088
95,YOL005C,60,1,3,2,0.00109978,0.000768106,0.263823156,1.15E-05,5,62,33,0.183682136,0.677777778,0.00054989,0.131911578,0.000384053,5.74E-06,2,0.008541832
96,YMR277W,27,1,4,2,0.000385677,8.27E-05,0.255035429,1.52E-05,5,62,21,0.105683244,0.598039216,0.000192838,0.127517715,4.14E-05,7.59E-06,2,0.010021652
97,YKL005C,4,0,4,2,7.37E-05,6.08E-06,0.230986912,6.25E-05,5,62,3,0.014725004,0.488,3.69E-05,0.115493456,3.04E-06,3.12E-05,2,0.000136612
98,YDL140C,110,1,3,2,0.018935368,0.000715827,0.292188699,3.39E-05,5,62,54,0.220135447,0.897058824,0.009467684,0.146094349,0.000357913,1.70E-05,2,0.19080247
99,YBL022C,9,0,4,0,0.001879068,9.20E-06,0.247174607,0.00019999,6,1,0,1,0,inf,inf,inf,inf,0,0
100,YPL007C,8,1,5,3,0,1.10E-05,0.216727514,0,7,40,8,0.094098728,0.549295775,0,0.072242505,3.68E-06,0,3,0
101,YML098W,18,1,4,3,1.16E-05,1.18E-05,0.227923211,9.09E-07,7,40,13,0.092621127,0.6,3.86E-06,0.075974404,3.94E-06,3.03E-07,3,0
102,YBR123C,14,1,4,3,0.000372051,0.000111629,0.226803612,2.94E-05,7,40,13,0.146053332,0.590909091,0.000124017,0.075601204,3.72E-05,9.81E-06,3,0.011114324
103,YPR110C,75,1,4,3,0.001742731,0.013711501,0.274881232,2.14E-05,7,40,15,0.205241938,0.609375,0.00058091,0.091627077,0.0045705,7.13E-06,3,0.003711201
104,YNR003C,34,1,4,3,0.000160563,0.00359922,0.252611219,7.43E-06,7,40,15,0.211342057,0.609375,5.35E-05,0.08420374,0.00119974,2.48E-06,3,0.001162093
105,YOR110W,8,1,5,3,0,1.10E-05,0.216727514,0,7,40,8,0.094098728,0.549295775,0,0.072242505,3.68E-06,0,3,0
106,YJL011C,23,1,4,3,1.50E-06,0.000668316,0.237232717,1.25E-07,7,40,14,0.201441236,0.6,4.99E-07,0.079077572,0.000222772,4.15E-08,3,0
107,YOR207C,48,1,4,3,0.000735053,0.006049646,0.262023502,1.21E-05,7,40,16,0.219327993,0.619047619,0.000245018,0.087341167,0.002016549,4.03E-06,3,0.003041793
108,YNL039W,27,1,4,3,0.000139675,0.000422861,0.237948985,4.32E-06,7,40,21,0.250899572,0.672413793,4.66E-05,0.079316328,0.000140954,1.44E-06,3,0.022132789
109,YPL082C,11,1,5,3,0.001553663,0.000268713,0.243526905,0.000159829,7,40,5,0.046925024,0.534246575,0.000517888,0.081175635,8.96E-05,5.33E-05,3,0.004723347
110,YPR190C,57,1,4,3,0.000531803,0.010086481,0.25835076,1.14E-05,7,40,16,0.220067522,0.619047619,0.000177268,0.08611692,0.00336216,3.80E-06,3,0.003065891
111,YNL113W,69,1,3,2,0.001169686,0.009098119,0.269532402,1.31E-05,7,40,15,0.205241938,0.609375,0.000584843,0.134766201,0.004549059,6.53E-06,2,0.003711201
112,YER159C,3,1,5,3,0,5.00E-06,0.217108388,0,7,40,3,0.025797463,0.513157895,0,0.072369463,1.67E-06,0,3,0
113,YPL011C,14,1,4,3,0,5.34E-06,0.223204258,0,7,40,13,0.092621127,0.6,0,0.074401419,1.78E-06,0,3,0
114,YDR397C,6,1,4,3,8.03E-05,1.34E-05,0.229053919,2.51E-05,7,40,3,0.025797463,0.513157895,2.68E-05,0.076351306,4.45E-06,8.35E-06,3,0
115,YOR116C,46,1,4,3,0.000758256,0.004540302,0.260411326,1.21E-05,7,40,18,0.233697553,0.639344262,0.000252752,0.086803775,0.001513434,4.03E-06,3,0.008489707
116,YER148W,99,1,4,2,0.007814437,0.000536157,0.272423863,1.77E-05,7,40,38,0.333295479,0.975,0.003907218,0.136211932,0.000268079,8.86E-06,2,0.54338785
117,YCR042C,17,0,4,3,3.91E-06,7.84E-06,0.223980792,3.45E-07,7,40,13,0.092621127,0.6,1.30E-06,0.074660264,2.61E-06,1.15E-07,3,0
118,YGR047C,21,1,4,3,0.000641145,0.000181368,0.236410654,2.77E-05,7,40,14,0.165727505,0.6,0.000213715,0.078803551,6.05E-05,9.23E-06,3,0.006607866
119,YPR186C,7,1,5,3,1.06E-06,3.81E-05,0.222022537,4.56E-07,7,40,7,0.094475117,0.541666667,3.54E-07,0.074007512,1.27E-05,1.52E-07,3,0.00019279
120,YGR246C,30,1,4,3,0.000184762,0.000437253,0.239344434,4.44E-06,7,40,23,0.257503665,0.696428571,6.16E-05,0.079781478,0.000145751,1.48E-06,3,0.044737378
121,YDR145W,30,1,4,2,5.75E-05,2.18E-05,0.237652074,1.64E-06,7,40,13,0.092621127,0.6,2.87E-05,0.118826037,1.09E-05,8.19E-07,2,0
122,YDL070W,3,0,4,4,0,3.30E-07,0.211082891,0,7,40,2,0.012039588,0.39,0,0.052770723,8.25E-08,0,4,0
