,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness
3579,YPR183W,20,0,5,4,0.007618223962538734,3.218807702283303e-05,0.24814070897345422,0.00023722845607639678,342,3,2,0.5773502691896258,1.0
3580,YGR036C,10,0,5,3,0.0006701216215118557,1.7251893400089786e-06,0.2142790174385899,9.974069574632708e-05,342,3,2,0.5773502691896258,1.0
3581,YMR013C,6,0,5,4,5.878700682932952e-05,2.248345246410393e-07,0.20358988063424194,1.7636102048798856e-05,342,3,2,0.5773502691896258,1.0
3582,YER177W,13,0,4,3,0.0008054671693979373,1.9050732673276905e-06,0.2529607083563918,7.214158814898065e-05,343,3,2,0.5773502691896258,1.0
3583,YDR099W,10,0,4,3,0.0006952563990865233,7.44565134647266e-07,0.25176250275391054,0.000140883202282148,343,3,2,0.5773502691896258,1.0
3584,YDR130C,7,0,5,4,0.00021833219687174266,7.995943590028105e-07,0.23830874302695376,0.00010305438149369905,343,3,2,0.5773502691896258,1.0
3585,YIL045W,6,0,4,5,2.7262196241940257e-05,1.5264697940128893e-07,0.2274016218098602,1.1517060001424036e-05,344,3,2,0.5773502691896258,1.0
3586,YER054C,12,0,4,4,0.0009553134175924464,3.0121962623546633e-07,0.2370850622406639,8.975706554638507e-05,344,3,2,0.5773502691896258,1.0
3587,YLR273C,6,0,4,5,0.00012830939096037804,1.534697606665373e-07,0.22823047733173557,5.045713742427371e-05,344,3,2,0.5773502691896258,1.0
3588,YJL035C,6,0,5,4,6.652230960923629e-05,0.00026618322189743963,0.2143192048012003,2.147974868957865e-05,345,3,2,0.5773502691896258,1.0
3589,YGL243W,3,0,5,5,1.5770138888325475e-06,7.1007235533258195e-06,0.18587345478204295,1.6313936781026355e-06,345,3,2,0.5773502691896258,1.0
3590,YLR316C,10,0,4,4,0.0003657000870512684,0.00028500365206277995,0.22240062278012943,3.769593899532606e-05,345,3,2,0.5773502691896258,1.0
3591,YBR058C-A,5,0,5,4,0.0,2.000654095449859e-06,0.2121409012855618,0.0,346,3,2,0.5773502691896258,1.0
3592,YGR038W,6,0,5,4,8.663122765580362e-05,2.0560126422174247e-06,0.2178949375536276,2.1252814470372133e-05,346,3,2,0.5773502691896258,1.0
3593,YLR350W,5,0,5,4,0.0,2.000654095449859e-06,0.2121409012855618,0.0,346,3,2,0.5773502691896258,1.0
3594,YBR023C,10,0,5,4,0.0003634218987211406,5.837741691521504e-08,0.20923738899569716,2.4068940467208265e-05,347,3,2,0.5773502691896258,1.0
3595,YBL061C,4,0,6,4,1.6230975818548855e-05,6.105142024594836e-09,0.19437829562850825,7.47479149538434e-06,347,3,2,0.5773502691896258,1.0
3596,YHR142W,5,0,6,4,5.6858595472597485e-06,9.279850105131802e-09,0.191287244727151,1.5841200728683877e-06,347,3,2,0.5773502691896258,1.0
3597,YLR342W,14,0,4,4,0.0014000981754097367,5.3366051953026866e-06,0.23993491155319932,6.310997613682649e-05,348,3,2,0.5773502691896258,1.0
3598,YGR032W,5,0,4,4,0.00011892875769441189,1.6826809425747327e-07,0.2211845543404626,5.5222792984925175e-05,348,3,2,0.5773502691896258,1.0
3599,YMR306W,4,0,4,5,0.0,4.5927578811215435e-08,0.20355361596009974,0.0,348,3,2,0.5773502691896258,1.0
3600,YDL124W,10,0,3,4,0.0009127777422587877,3.292667452225957e-06,0.23193626953521412,7.390886206942421e-05,349,3,2,0.707106690085642,1.0
3601,YBR026C,11,0,4,3,0.0008736092863130054,3.3625548545498783e-06,0.2311621320926469,8.302069583516783e-05,349,3,1,0.5000000644180599,0.6666666666666666
3602,YDL072C,3,0,4,5,1.063800193218029e-08,2.225203183303567e-08,0.19150362394737944,1.1740938587356173e-08,349,3,1,0.5000000644180599,0.6666666666666666
3603,YFL044C,10,0,4,4,0.0001668405164069461,0.0005350510743620642,0.24579233209657472,3.2270124820921314e-05,350,3,2,0.5773502691896258,1.0
3604,YHL013C,6,0,5,4,0.0010734022719288809,2.756482938121599e-05,0.2228994977324816,0.0003226797356807177,350,3,2,0.5773502691896258,1.0
3605,YBR058C,12,0,5,3,0.00012285877980559656,0.0005637233779772585,0.24629559782315857,1.3704712424396933e-05,350,3,2,0.5773502691896258,1.0
3606,YGL203C,2,0,5,4,0.0,2.007651519536394e-07,0.19813610749891633,0.0,351,3,2,0.5773502691896258,1.0
3607,YNL238W,11,0,4,3,0.0020227551227684337,3.266088828699016e-05,0.24706772606886115,8.767293267689489e-05,351,3,2,0.5773502691896258,1.0
3608,YOR219C,2,0,5,4,0.0,2.007651519536394e-07,0.19813610749891633,0.0,351,3,2,0.5773502691896258,1.0
3609,YGR121C,3,0,5,5,0.00010136135511317414,2.2085331423271415e-08,0.19639097744360903,4.7301965719481264e-05,352,3,2,0.5773502691896258,1.0
3610,YNL142W,6,0,5,5,0.0009540514053413849,1.290941953827971e-07,0.21216059410536087,7.181032083214725e-05,352,3,2,0.5773502691896258,1.0
3611,YPR138C,2,0,6,6,0.0,9.236311553190504e-10,0.17504020831737765,0.0,352,3,2,0.5773502691896258,1.0
3612,YFR044C,7,0,4,4,0.0005372422553011905,5.441288727423691e-07,0.21849904397705544,6.23196948663469e-05,353,3,2,0.5773502691896258,1.0
3613,YNL191W,3,0,5,5,1.988030470348808e-05,1.6437670606882022e-08,0.1909835380630066,9.27747552829444e-06,353,3,2,0.5773502691896258,1.0
