,0
4932.YIL142W,9.383794701140979e-05
4932.YIL007C,6.396336597579163e-07
4932.YOR157C,1.420304442227482e-06
4932.YOR261C,2.7236064234152483e-06
4932.YOR117W,3.0042076041322668e-06
4932.YPL144W,4.510692346595231e-06
4932.YJL001W,2.6660149666283467e-06
4932.YPR108W,4.639549863948973e-06
4932.YOL038W,1.5091724800733834e-05
4932.YHR200W,2.027643808114567e-05
4932.YMR314W,3.926608892957754e-06
4932.YHR027C,1.892930372569248e-05
4932.YJL008C,0.00012562611123350856
4932.YLR199C,5.598378372423475e-06
4932.YLL039C,2.353615887416659e-05
4932.YOR259C,3.4259893754116487e-06
4932.YOR362C,6.0016598216218165e-06
4932.YML092C,1.312598347069542e-05
4932.YLR421C,2.427892706002177e-06
4932.YKL145W,1.5420927746718538e-05
4932.YIL075C,3.166400538438897e-06
4932.YDR541C,0.0
4932.YOR340C,2.673017703838399e-06
4932.YDR087C,1.9334924018553276e-06
4932.YGR286C,9.976900360738826e-05
4932.YOR176W,3.516772582140511e-05
4932.YNL240C,8.885919729090959e-05
4932.YAL001C,7.413763621736994e-09
4932.YBL014C,2.1682287909376227e-05
4932.YBR081C,1.4633075926574808e-06
4932.YBR123C,2.941705563655979e-05
4932.YBR198C,1.6282813199234767e-06
4932.YCR042C,3.4458884100952395e-07
4932.YDR145W,1.6376360052249134e-06
4932.YDR167W,2.3382061389928308e-05
4932.YDR176W,1.186430523502187e-05
4932.YDR392W,3.325141282458595e-06
4932.YDR397C,2.505612755105316e-05
4932.YDR448W,7.052920999685847e-06
4932.YEL009C,0.0001147772468282195
4932.YGL241W,3.340596234759022e-05
4932.YML043C,2.6438941477740437e-05
4932.YPL254W,6.003928402190345e-06
4932.YML015C,1.2220175617107187e-07
4932.YMR236W,1.6376360052249136e-06
4932.YER159C,0.0
4932.YPL082C,0.00015982919734929815
4932.YMR005W,9.1457685209229e-07
4932.YPL011C,0.0
4932.YHR099W,2.4990380869203502e-05
4932.YMR223W,4.230571366623789e-05
4932.YOL012C,3.2631674362482475e-05
4932.YJL025W,2.8767258533311507e-05
4932.YML098W,9.093690052469999e-07
4932.YOR110W,0.0
4932.YMR227C,1.4611664324298973e-06
4932.YKL125W,1.2418471682202117e-05
4932.YMR270C,1.4364521491791717e-05
4932.YPL248C,0.00016814726962643563
4932.YPL007C,0.0
4932.YGL066W,1.4145205381313382e-05
4932.YPR186C,4.5632599470559203e-07
4932.YOL148C,1.451130896531108e-07
4932.YML114C,0.0
4932.YLR055C,1.4633075926574806e-06
4932.YBL091C,3.940031872604306e-05
4932.YDL040C,1.4592899111110268e-05
4932.YOR091W,5.774023242080619e-05
4932.YOR253W,8.734621910347579e-05
4932.YLR244C,5.4686268730766824e-05
4932.YHR112C,0.0
4932.YHR013C,7.531893087781576e-05
4932.Q0080,2.259452152460071e-09
4932.YEL051W,3.843115692284522e-05
4932.YKL080W,7.585904472386136e-06
4932.YHR026W,1.1703353428973894e-05
4932.YOR332W,1.0248169407070248e-05
4932.YHR039C-A,2.821832488879348e-05
4932.YKL016C,1.3384652411879035e-05
4932.YBL099W,5.859123740359069e-05
4932.YEL027W,1.1703353428973892e-05
4932.YJL180C,6.652632625052587e-05
4932.YER154W,0.0001263110686086473
4932.YFL036W,6.70344874232921e-05
4932.YDR298C,2.0451705791401714e-05
4932.YPL271W,2.021527253943171e-06
4932.YLR393W,6.470149420822608e-06
4932.YJR121W,5.423768620821493e-05
4932.YDL004W,1.6447001522533568e-05
4932.YPL078C,5.545615790255048e-06
4932.YML081C-A,5.180599265349764e-07
4932.YPR020W,3.996968548209286e-06
4932.YLR447C,2.4451479922570543e-05
4932.YPL234C,1.0952657296282753e-05
4932.YDR377W,6.207786502662545e-06
4932.YMR054W,6.750919436767659e-06
4932.YDR322C-A,1.1413550178182143e-06
4932.YBR039W,2.515727427044216e-05
4932.YLR295C,1.8708341587901927e-05
4932.YOL077W-A,1.4316585456512553e-06
4932.YPL069C,5.59348293633709e-06
4932.YBR002C,3.1284249971002204e-05
4932.YBR003W,5.994671062368649e-05
4932.YDL090C,1.8472864159843627e-05
4932.YDL193W,7.951628341698236e-06
4932.YGR175C,1.1942762106014521e-05
4932.YHR190W,8.826492291207217e-06
4932.YJL167W,3.414542734334187e-05
4932.YKL019W,4.343019930356786e-05
4932.YML075C,3.172988549820878e-06
4932.YML126C,1.281475066653605e-05
4932.YMR101C,2.9356249260545118e-05
4932.YMR208W,1.1567041112787285e-05
4932.YNR043W,1.0330592324047562e-05
4932.YPL117C,2.9949309280933755e-06
4932.YDL064W,3.488939611693017e-05
4932.YBL079W,7.498995178696148e-06
4932.YBR082C,0.00010246308522020254
4932.YBR088C,3.372496613900456e-05
4932.YCR065W,9.226813460231317e-05
4932.YCR066W,1.274429532773756e-05
4932.YDL003W,8.257264729179827e-06
4932.YDL059C,4.262571574305708e-06
4932.YJL141C,6.678649686713054e-05
4932.YJL092W,1.0551711723883496e-05
4932.YNL112W,2.5245653966544972e-05
4932.YDL116W,1.8269793864544744e-05
4932.YER107C,2.1326783893962666e-05
4932.YGL016W,1.322695308448535e-05
4932.YGL092W,1.2493964668873928e-05
4932.YGL194C,2.2233129012640864e-05
4932.YHR090C,7.346970013133121e-06
4932.YOR156C,4.786799915573755e-06
4932.YGL087C,3.600159430702652e-05
4932.YML032C,2.157051751622014e-05
4932.YDR177W,7.757347008103898e-05
4932.YDR288W,5.5378643958580084e-06
4932.YLR335W,1.0875239568439099e-05
4932.YMR190C,9.729803436790023e-06
4932.YJL074C,9.410846563703554e-06
4932.YKR095W,1.3578512456614447e-05
4932.YLR394W,5.6126339380599874e-05
4932.YOL006C,1.9756912746207783e-05
4932.YFR002W,8.719098784984205e-06
4932.YIL031W,3.245114872701794e-05
4932.YJR042W,7.199045940948456e-06
4932.YJL041W,1.6423431852473864e-05
4932.YKR082W,8.098587347899647e-06
4932.YLR293C,2.1966861803636872e-05
4932.YNL088W,7.741104355051222e-05
4932.YMR235C,2.7762775508754015e-05
4932.YFL008W,3.569031700382873e-05
4932.YJL039C,8.754964166353518e-06
4932.YDR328C,2.758288942136823e-05
4932.YKL210W,3.0093056227505522e-05
4932.YDR002W,1.6503711910620218e-05
4932.YDL105W,5.751982049937601e-06
4932.YLR007W,5.5378643958580084e-06
4932.YGL100W,1.0791285275521473e-05
4932.YPL020C,2.710912204169944e-05
4932.YDR092W,3.187812554796193e-05
4932.YDR390C,1.2649603841782178e-05
4932.YPR068C,5.200784461243134e-05
4932.YDR409W,5.449578958118773e-06
4932.YDR510W,5.007629134035092e-05
4932.YOL133W,2.5373818620472583e-05
4932.YOR310C,7.996835075693438e-06
4932.YEL019C,8.475793175787116e-06
4932.YDR059C,5.454783290263514e-05
4932.YDL132W,3.669726596578176e-05
4932.YDR314C,6.733419572978027e-05
4932.YOR064C,1.2996465007400787e-05
4932.YER095W,7.427665538311589e-06
4932.YDR363W,3.8706788148997765e-06
4932.YOL034W,1.2912224801325044e-05
4932.YNL097C,1.2085927584667044e-05
4932.YLR383W,1.2170926899187295e-05
4932.YNL330C,2.486094645819548e-05
4932.YNL021W,5.503186037341871e-05
4932.YPR180W,1.6149501598737132e-05
4932.YOR098C,1.2842011622753109e-05
4932.YGR119C,1.1997785664305414e-05
4932.YLR208W,5.9917308664574907e-05
