,cluster,size,icp55_shorpl,pim1_shorpl,avg_clust_coeff,avg_deg,avg_inner_deg,avg_outer_deg
472,472,3,4,3,0.0,9.0,0.0,9.0
473,473,2,6,5,0.0,1.5,0.0,1.5
474,474,1,5,4,0.0,8.0,0.0,8.0
475,475,1,4,3,0.0,7.0,0.0,7.0
476,476,6,6,5,0.7111111111111111,4.833333333333333,3.6666666666666665,1.1666666666666667
477,477,2,5,5,0.0,3.0,0.0,3.0
478,478,2,6,6,0.0,3.0,1.0,2.0
479,479,2,6,6,0.0,4.0,0.0,4.0
480,480,1,5,5,0.0,3.0,0.0,3.0
481,481,6,4,4,0.7222222222222222,5.666666666666667,2.6666666666666665,3.0
482,482,3,7,7,1.0,4.0,2.0,2.0
483,483,1,5,5,0.0,3.0,0.0,3.0
484,484,1,5,4,0.0,4.0,0.0,4.0
485,485,1,5,6,0.0,2.0,0.0,2.0
486,486,9,4,4,0.9365079365079363,11.88888888888889,7.111111111111111,4.777777777777778
487,487,1,6,5,0.0,7.0,0.0,7.0
488,488,3,5,5,0.0,6.0,0.0,6.0
489,489,1,3,4,0.0,7.0,0.0,7.0
490,490,6,6,6,0.5,5.0,2.0,3.0
491,491,1,6,6,0.0,6.0,0.0,6.0
492,492,1,6,6,0.0,4.0,0.0,4.0
493,493,2,6,5,0.0,2.0,0.0,2.0
494,494,1,5,4,0.0,7.0,0.0,7.0
495,495,3,6,7,0.0,1.3333333333333333,0.0,1.3333333333333333
496,496,2,5,6,0.0,2.5,0.0,2.5
497,497,1,4,4,0.0,11.0,0.0,11.0
498,498,2,5,5,0.0,5.5,1.0,4.5
499,499,2,5,4,0.0,3.5,0.0,3.5
500,500,3,5,5,0.0,2.3333333333333335,0.0,2.3333333333333335
501,501,1,5,4,0.0,2.0,0.0,2.0
502,502,4,3,4,0.8333333333333333,6.0,2.5,3.5
503,503,2,5,5,0.0,4.0,0.0,4.0
504,504,1,6,5,0.0,3.0,0.0,3.0
505,505,2,5,5,0.0,2.0,0.0,2.0
506,506,1,5,4,0.0,2.0,0.0,2.0
507,507,1,4,4,0.0,6.0,0.0,6.0
508,508,1,4,4,0.0,3.0,0.0,3.0
509,509,2,5,4,0.0,6.0,0.0,6.0
510,510,1,5,5,0.0,3.0,0.0,3.0
511,511,4,4,4,0.0,1.5,0.0,1.5
512,512,6,4,4,0.5,4.333333333333333,2.6666666666666665,1.6666666666666667
513,513,3,5,5,1.0,2.6666666666666665,2.0,0.6666666666666666
514,514,4,4,4,1.0,4.5,3.0,1.5
515,515,3,5,4,0.0,3.3333333333333335,0.0,3.3333333333333335
516,516,1,4,4,0.0,3.0,0.0,3.0
517,517,2,5,4,0.0,3.0,1.0,2.0
518,518,3,5,5,1.0,2.3333333333333335,2.0,0.3333333333333333
519,519,1,8,6,0.0,2.0,0.0,2.0
520,520,3,9,7,0.0,1.3333333333333333,0.0,1.3333333333333333
521,521,1,8,6,0.0,3.0,0.0,3.0
522,522,1,10,8,0.0,2.0,0.0,2.0
523,523,1,7,6,0.0,2.0,0.0,2.0
524,524,2,5,4,0.0,4.0,0.0,4.0
