,cluster,size,icp55_shorpl,icp55_shorpl_mean,icp55_shorpl_std,pim1_shorpl,pim1_shorpl_mean,pim1_shorpl_std
487,487,1,6,6.0,0.0,5,5.0,0.0
488,488,3,5,6.0,0.816496580927726,5,5.666666666666667,0.9428090415820634
489,489,1,3,3.0,0.0,4,4.0,0.0
490,490,6,6,6.666666666666667,0.4714045207910317,6,6.333333333333333,0.4714045207910317
491,491,1,6,6.0,0.0,6,6.0,0.0
492,492,1,6,6.0,0.0,6,6.0,0.0
493,493,2,6,6.0,0.0,5,5.0,0.0
494,494,1,5,5.0,0.0,4,4.0,0.0
495,495,3,6,6.0,0.0,7,7.0,0.0
496,496,2,5,6.0,1.0,6,7.0,1.0
497,497,1,4,4.0,0.0,4,4.0,0.0
498,498,2,5,5.0,0.0,5,5.0,0.0
499,499,2,5,5.5,0.5,4,5.0,1.0
500,500,3,5,5.666666666666667,0.4714045207910317,5,5.666666666666667,0.4714045207910317
501,501,1,5,5.0,0.0,4,4.0,0.0
502,502,4,3,4.0,0.7071067811865476,4,4.25,0.4330127018922193
503,503,2,5,5.5,0.5,5,5.5,0.5
504,504,1,6,6.0,0.0,5,5.0,0.0
505,505,2,5,5.5,0.5,5,5.0,0.0
506,506,1,5,5.0,0.0,4,4.0,0.0
507,507,1,4,4.0,0.0,4,4.0,0.0
508,508,1,4,4.0,0.0,4,4.0,0.0
509,509,2,5,5.0,0.0,4,4.0,0.0
510,510,1,5,5.0,0.0,5,5.0,0.0
511,511,4,4,6.0,1.4142135623730951,4,6.0,1.4142135623730951
512,512,6,4,5.166666666666667,0.6871842709362768,4,4.833333333333333,0.372677996249965
513,513,3,5,5.666666666666667,0.4714045207910317,5,5.333333333333333,0.4714045207910317
514,514,4,4,4.75,0.4330127018922193,4,4.5,0.5
515,515,3,5,6.333333333333333,0.9428090415820634,4,5.333333333333333,0.9428090415820634
516,516,1,4,4.0,0.0,4,4.0,0.0
517,517,2,5,5.0,0.0,4,4.0,0.0
518,518,3,5,5.666666666666667,0.4714045207910317,5,5.666666666666667,0.4714045207910317
519,519,1,8,8.0,0.0,6,6.0,0.0
520,520,3,9,9.666666666666666,0.9428090415820634,7,7.666666666666667,0.9428090415820634
521,521,1,8,8.0,0.0,6,6.0,0.0
522,522,1,10,10.0,0.0,8,8.0,0.0
523,523,1,7,7.0,0.0,6,6.0,0.0
524,524,2,5,5.5,0.5,4,5.0,1.0
525,525,1,5,5.0,0.0,4,4.0,0.0
526,526,1,5,5.0,0.0,5,5.0,0.0
527,527,1,5,5.0,0.0,5,5.0,0.0
528,528,4,5,5.0,0.0,5,5.0,0.0
529,529,1,6,6.0,0.0,5,5.0,0.0
530,530,1,6,6.0,0.0,5,5.0,0.0
531,531,1,5,5.0,0.0,5,5.0,0.0
532,532,1,5,5.0,0.0,4,4.0,0.0
533,533,3,4,4.666666666666667,0.4714045207910317,4,4.666666666666667,0.4714045207910317
534,534,1,5,5.0,0.0,5,5.0,0.0
535,535,2,6,7.0,1.0,5,6.0,1.0
536,536,1,7,7.0,0.0,6,6.0,0.0
537,537,1,7,7.0,0.0,7,7.0,0.0
538,538,1,5,5.0,0.0,5,5.0,0.0
539,539,1,6,6.0,0.0,5,5.0,0.0
540,540,3,5,6.333333333333333,0.9428090415820634,5,6.333333333333333,0.9428090415820634
541,541,1,6,6.0,0.0,4,4.0,0.0
542,542,21,7,7.904761904761905,0.29354352395090366,7,7.904761904761905,0.29354352395090366
543,543,1,6,6.0,0.0,6,6.0,0.0
544,544,1,7,7.0,0.0,6,6.0,0.0
545,545,1,6,6.0,0.0,6,6.0,0.0
546,546,2,6,6.0,0.0,5,5.5,0.5
547,547,1,6,6.0,0.0,6,6.0,0.0
548,548,1,4,4.0,0.0,5,5.0,0.0
549,549,2,4,5.0,1.0,5,6.0,1.0
550,550,2,6,7.0,1.0,6,7.0,1.0
551,551,1,7,7.0,0.0,7,7.0,0.0
552,552,2,6,6.0,0.0,6,6.0,0.0
553,553,1,5,5.0,0.0,4,4.0,0.0
554,554,4,11,11.75,0.4330127018922193,9,9.75,0.4330127018922193
555,555,1,5,5.0,0.0,4,4.0,0.0
556,556,1,6,6.0,0.0,6,6.0,0.0
557,557,3,8,8.666666666666666,0.9428090415820634,6,6.666666666666667,0.9428090415820634
558,558,1,9,9.0,0.0,7,7.0,0.0
559,559,3,5,5.0,0.0,6,6.0,0.0
560,560,3,4,5.333333333333333,0.9428090415820634,5,6.333333333333333,0.9428090415820634
561,561,3,7,7.333333333333333,0.4714045207910317,6,6.666666666666667,0.9428090415820634
562,562,1,4,4.0,0.0,5,5.0,0.0
563,563,6,9,10.666666666666666,0.74535599249993,7,8.666666666666666,0.74535599249993
564,564,1,9,9.0,0.0,7,7.0,0.0
565,565,5,10,11.0,0.8944271909999159,8,9.0,0.8944271909999159
566,566,2,10,10.5,0.5,8,8.5,0.5
567,567,1,9,9.0,0.0,7,7.0,0.0
568,568,3,10,11.333333333333334,0.9428090415820634,8,9.333333333333334,0.9428090415820634
569,569,2,11,11.0,0.0,9,9.0,0.0
