,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
1862,4932.YJR065C,18,0.269627672748287,0.00016471273571779747,2.7879695912601176e-06,9.353776175976265e-06,0.5686274509803921,9,110
1863,4932.YMR092C,11,0.26372739018087854,6.726914086408104e-05,2.433077946531917e-06,6.820816872743916e-06,0.6545454545454545,9,110
1864,4932.YHL007C,25,0.2810429395060666,0.001293611901238517,8.427305920685456e-06,2.559265084762561e-05,0.22666666666666666,238,46
1865,4932.YIL159W,16,0.2698504503015781,0.00021706234584311428,2.862950515300622e-06,1.2376520096616914e-05,0.55,9,110
1866,4932.YOR023C,15,0.2720759746751083,6.893375729592199e-05,4.8569054245201445e-06,7.929662703717785e-06,0.8285714285714286,9,110
1867,4932.YLR370C,14,0.27703791670201033,0.0005153332663422292,2.095423485621055e-05,5.0034447635167644e-05,0.5054945054945055,9,110
1868,4932.YJR082C,25,0.2746846089150547,0.0001324283846168976,6.688911536306243e-06,4.618399134712451e-06,0.6466666666666666,9,110
1869,4932.YPR188C,7,0.2621398186050245,1.3194553410998181e-05,2.4946389252127174e-06,4.546263755085472e-06,0.7619047619047619,238,46
1870,4932.YOR367W,5,0.2670482420278005,0.00010321456138749524,2.3804372178350257e-06,0.00011155233898221649,0.6,9,110
1871,4932.YIR006C,32,0.2825503936326672,0.001487062410430256,5.819610804891865e-06,1.9652572305845565e-05,0.3911290322580645,9,110
1872,4932.YNL298W,21,0.2764282691493864,0.000675444638791491,8.218685117713585e-06,1.7631286655996904e-05,0.3142857142857143,238,46
1873,4932.YNL243W,28,0.27772108843537413,0.0013023728929145153,5.475209123961286e-06,2.6898956284272423e-05,0.41798941798941797,9,110
1874,4932.YNL138W,9,0.2695831613702022,0.0001152276398190942,2.4975796343711695e-06,2.72746507208413e-05,0.5833333333333334,9,110
1875,4932.YOR326W,33,0.292495074332796,0.0042105818352364995,1.4198226830467512e-05,3.711867557980063e-05,0.20643939393939395,296,9
1876,4932.YNL169C,14,0.23851603008836633,0.0021758944445520578,1.1270809001703198e-06,0.00010471642175013305,0.5054945054945055,267,49
1877,4932.YGR001C,6,0.26411127284489727,0.00040917629039969705,0.0001416011672485236,0.00014238664460636486,0.2,273,12
1878,4932.YIL064W,10,0.27076770021555296,0.0015534377354804374,7.595441314225067e-05,8.860378950720215e-05,0.2222222222222222,273,12
1879,4932.YOR388C,4,0.22895198037153874,3.390694052375706e-05,7.209888268505497e-07,3.386411328022291e-05,0.3333333333333333,108,14
1880,4932.YDL166C,19,0.29098360655737704,0.0011534293449940787,0.0020546078951195843,0.00010886929835794629,0.23976608187134502,207,23
1881,4932.YOR212W,17,0.29661247843066024,0.0028642550340532993,0.00042625575516015685,0.0001809900096223574,0.33088235294117646,238,46
1882,4932.YGR285C,22,0.2879562687356727,0.0007960199368642894,0.0009986497018496289,3.916550651855034e-05,0.16883116883116883,8,24
1883,4932.YNR051C,4,0.2691610351079611,9.970477520301179e-05,0.00031509209859658917,0.0001147702759161486,0.0,51,21
1884,4932.YHR096C,17,0.2437313432835821,0.00043387540391140434,5.515132442557543e-07,1.5007437039245431e-05,0.4485294117647059,222,11
1885,4932.YBR121C,19,0.26277254807305495,0.00024197761146949124,0.0005028259152764445,1.680608448738128e-05,0.6666666666666666,148,41
1886,4932.YHR171W,23,0.25481782008270265,0.0011174140163665496,2.385482688178934e-06,3.8485920728895505e-05,0.5770750988142292,232,23
1887,4932.YIL098C,1,0.21420607332590016,0.0,1.2438816548295553e-06,0.0,0.0,69,29
1888,4932.YLL042C,11,0.2459707787317367,6.331790026384285e-05,1.969364646620477e-06,1.082766021895548e-05,0.8,232,23
1889,4932.YNR007C,22,0.25317829457364344,0.00033611129538240836,2.0783376122466837e-06,1.4393148778770465e-05,0.6536796536796536,232,23
1890,4932.YMR159C,14,0.24632325213062825,6.447056979810899e-05,1.985788516928755e-06,6.596459541128907e-06,0.7802197802197802,69,29
1891,4932.YNL223W,20,0.2503641241855117,0.0001942777395330738,2.0457068414545004e-06,9.254615024664263e-06,0.7105263157894737,69,29
1892,4932.YPL154C,7,0.26262463814731424,0.0008050244925369543,2.378208568434286e-06,0.00010835967451360977,0.19047619047619047,308,1
