,cid,orf,betweeness_centrality,degree_centrality,eigenvector_centrality
2701,72,4932.YGL028C,0.0153846153846153,0.5,0.3626737720670757
2702,72,4932.YNL066W,0.0153846153846153,0.5,0.3626737720670757
2703,72,4932.YGR282C,0.0,0.0,1.690441486841289e-14
2704,72,4932.YER124C,0.0153846153846153,0.5,0.3626737720670757
2705,72,4932.YBR158W,0.0,0.3571428571428571,0.27161652524223306
2706,72,4932.YGR189C,0.0,0.1428571428571428,0.06548163164003877
2707,72,4932.YNL327W,0.0153846153846153,0.5,0.3626737720670757
2708,73,4932.YML106W,0.0132478632478632,0.4615384615384615,0.34551280830910736
2709,73,4932.YNR012W,0.0,0.3076923076923077,0.2130858215411383
2710,73,4932.YLR014C,0.0057692307692307,0.3846153846153846,0.29325087554578755
2711,73,4932.YEL063C,0.0,0.1538461538461538,0.09799649550429626
2712,73,4932.YER005W,0.0,0.3076923076923077,0.2130858215411383
2713,73,4932.YBR068C,0.0,0.0,1.7188365272531628e-15
2714,73,4932.YKL216W,0.0132478632478632,0.4615384615384615,0.34551280830910736
2715,73,4932.YOR128C,0.0346153846153846,0.2307692307692307,0.10857363018688614
