,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
549,94,YOL012C,0,0.000,1.000,1.000
550,95,YBR019C,6,0.033,0.405,1.000
551,95,YML051W,6,0.033,0.405,1.000
552,95,YBR020W,6,0.033,0.405,1.000
553,95,YDR009W,6,0.033,0.405,1.000
554,96,YLR244C,3,0.667,0.612,1.000
555,97,YEL053C,8,0.094,0.364,0.727
556,97,YPR131C,8,0.185,0.351,0.727
557,97,YPL051W,4,0.182,0.153,0.364
558,97,YPR051W,8,0.094,0.364,0.727
559,98,YGL195W,4,0.367,0.428,0.667
560,98,YDR152W,5,0.400,0.554,0.833
561,99,YJL180C,2,1.000,0.707,1.000
562,100,YOL027C,1,0.000,0.707,1.000
563,100,YER154W,1,0.000,0.707,1.000
564,101,YFL036W,3,1.000,0.707,1.000
565,102,YLR393W,1,0.000,0.707,1.000
566,102,YNR020C,1,0.000,0.707,1.000
567,103,YOR270C,5,0.476,0.521,0.714
568,103,YLR447C,5,0.524,0.487,0.714
569,104,YLR056W,15,0.017,0.186,0.600
570,104,YGR060W,20,0.023,0.244,0.800
571,104,YHR007C,21,0.135,0.238,0.840
572,104,YMR202W,15,0.017,0.186,0.600
573,104,YHR190W,23,0.046,0.268,0.920
574,104,YHR072W,21,0.027,0.255,0.840
575,104,YGR175C,22,0.038,0.261,0.880
576,104,YML126C,21,0.034,0.249,0.840
577,105,YDL090C,7,0.133,0.397,0.700
