,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
304,32,YGL191W,30,0.625,0.174,0.009
305,33,YBR024W,2,0.333,0.341,0.000
306,33,YDR376W,3,0.500,0.380,0.333
307,33,YBR037C,2,0.333,0.341,0.000
308,34,YLR067C,0,1.000,1.000,0.000
309,35,YML129C,4,0.800,0.440,0.000
310,35,YLR203C,4,0.800,0.440,0.000
311,35,YIL157C,4,0.800,0.440,0.000
312,35,YJL062W-A,4,0.800,0.440,0.000
313,36,Q0115,3,1.000,0.557,0.167
314,36,Q0075,3,1.000,0.557,0.167
315,37,YPL234C,22,0.710,0.193,0.005
316,37,YKL080W,21,0.677,0.184,0.005
317,37,YEL027W,21,0.677,0.185,0.004
318,37,YML081C-A,24,0.774,0.195,0.019
319,37,YGR020C,21,0.677,0.185,0.004
320,37,YEL051W,23,0.742,0.200,0.008
321,37,YOR332W,22,0.710,0.193,0.005
322,37,YBR127C,21,0.677,0.183,0.006
323,37,Q0085,24,0.774,0.194,0.019
324,37,YHR039C-A,22,0.710,0.193,0.005
325,37,YDL185W,22,0.710,0.192,0.007
326,37,YHR026W,21,0.677,0.185,0.004
327,38,Q0055,1,1.000,0.707,0.000
328,38,Q0110,1,1.000,0.707,0.000
329,39,YLL018C-A,3,1.000,0.557,0.167
330,39,YLL009C,3,1.000,0.557,0.167
331,40,YDL069C,1,1.000,0.707,0.000
332,40,YDR197W,1,1.000,0.707,0.000
333,41,YGR174C,1,0.500,0.500,0.000
334,41,YBR120C,1,0.500,0.500,0.000
335,42,YGR062C,2,1.000,0.577,0.000
336,42,YDL107W,2,1.000,0.577,0.000
337,42,YOR266W,2,1.000,0.577,0.000
338,43,YEL059C-A,1,1.000,0.707,0.000
339,43,YDR231C,1,1.000,0.707,0.000
340,44,YDR296W,1,1.000,0.707,0.000
341,44,YKL011C,1,1.000,0.707,0.000
342,45,YBL008W,12,0.400,0.181,0.021
343,45,YDR225W,13,0.433,0.206,0.009
344,45,YBL003C,12,0.400,0.194,0.005
345,45,YBL002W,10,0.333,0.166,0.001
346,45,YEL056W,13,0.433,0.214,0.008
347,45,YOR038C,9,0.300,0.122,0.005
348,45,YLL022C,9,0.300,0.161,0.002
349,45,YBR195C,11,0.367,0.176,0.005
350,45,YPR018W,10,0.333,0.160,0.006
351,45,YPL001W,9,0.300,0.161,0.002
352,46,YBR166C,0,1.000,1.000,0.000
353,47,YML127W,16,0.696,0.210,0.000
354,47,YHR056C,16,0.696,0.210,0.000
355,47,YIL126W,19,0.826,0.234,0.014
356,47,YMR091C,16,0.696,0.210,0.000
357,47,YDR303C,16,0.696,0.210,0.000
358,47,YCR020W-B,16,0.696,0.210,0.000
359,47,YLR033W,16,0.696,0.210,0.000
360,47,YCR052W,19,0.826,0.235,0.013
361,47,YKR008W,16,0.696,0.210,0.000
362,47,YBL006C,16,0.696,0.210,0.000
363,47,YFR037C,19,0.826,0.234,0.014
364,47,YLR321C,18,0.783,0.227,0.009
365,48,YCR053W,4,1.000,0.447,0.000
366,48,YER052C,4,1.000,0.447,0.000
367,48,YDR158W,4,1.000,0.447,0.000
368,48,YJR139C,4,1.000,0.447,0.000
369,48,YHR025W,4,1.000,0.447,0.000
370,49,YGR156W,16,0.485,0.221,0.000
371,49,YKL018W,17,0.515,0.231,0.003
372,49,YKR002W,17,0.515,0.229,0.004
373,49,YNL222W,17,0.515,0.231,0.003
374,49,YJR093C,17,0.515,0.231,0.003
375,49,YNL317W,17,0.515,0.229,0.004
376,49,YDR195W,17,0.515,0.231,0.003
377,49,YOR179C,17,0.515,0.231,0.003
378,50,YPL138C,6,1.000,0.378,0.000
379,50,YBR175W,6,1.000,0.378,0.000
380,50,YLR015W,6,1.000,0.378,0.000
381,50,YHR119W,6,1.000,0.378,0.000
382,50,YDR469W,6,1.000,0.378,0.000
383,50,YBR258C,6,1.000,0.378,0.000
384,50,YAR003W,6,1.000,0.378,0.000
385,51,YDR359C,14,0.192,0.112,0.000
386,51,YHR023W,13,0.178,0.048,0.015
387,51,YNL136W,13,0.178,0.117,0.001
388,51,YOR122C,16,0.219,0.063,0.004
389,51,YOR213C,13,0.178,0.106,0.000
390,51,YIR006C,13,0.178,0.053,0.010
391,51,YNL059C,17,0.233,0.159,0.002
392,51,YMR109W,14,0.192,0.056,0.013
