,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
1287,368,YCR086W,5,0.492,0.400,0.833
1288,369,YGL122C,1,0.707,0.000,1.000
1289,369,YMR255W,1,0.707,0.000,1.000
1290,370,YAL029C,5,0.526,0.511,0.833
1291,370,YOR326W,4,0.485,0.211,0.667
1292,371,YBL007C,2,0.707,1.000,1.000
1293,372,YDR388W,5,0.604,0.750,1.000
1294,372,YCR009C,3,0.491,0.050,0.600
1295,373,YDL161W,2,0.500,0.167,0.667
1296,373,YLR206W,2,0.500,0.167,0.667
1297,373,YER060W-A,2,0.500,0.167,0.667
1298,373,YER060W,2,0.500,0.167,0.667
1299,374,YLR319C,1,0.707,0.000,1.000
1300,374,YOR304C-A,1,0.707,0.000,1.000
1301,375,YOR094W,3,0.707,1.000,1.000
1302,376,YMR032W,4,0.510,0.167,1.000
1303,376,YDL117W,4,0.510,0.167,1.000
1304,377,YIL027C,7,0.354,0.000,1.000
1305,377,YLL014W,7,0.354,0.000,1.000
1306,377,YGL231C,7,0.354,0.000,1.000
1307,377,YJL192C,7,0.354,0.000,1.000
1308,377,YCL045C,7,0.354,0.000,1.000
1309,377,YJR088C,7,0.354,0.000,1.000
1310,377,YKL207W,7,0.354,0.000,1.000
1311,377,YDR056C,7,0.354,0.000,1.000
1312,378,YBR141C,5,0.372,0.271,0.556
1313,378,YJR129C,6,0.466,0.211,0.667
1314,378,YIL064W,7,0.500,0.421,0.778
1315,379,YOR198C,1,0.707,0.000,1.000
1316,379,YJL080C,1,0.707,0.000,1.000
1317,380,YML068W,1,0.707,0.000,1.000
1318,380,YKR017C,1,0.707,0.000,1.000
1319,381,YCL033C,2,0.577,0.000,1.000
1320,381,YKL069W,2,0.577,0.000,1.000
1321,381,YER042W,2,0.577,0.000,1.000
1322,382,YOR388C,1,0.707,0.000,1.000
1323,382,YJL068C,1,0.707,0.000,1.000
1324,383,YOR212W,1,0.707,0.000,1.000
1325,383,YHR005C,1,0.707,0.000,1.000
1326,384,YGR285C,1,0.707,0.000,1.000
1327,384,YDL229W,1,0.707,0.000,1.000
1328,385,YKL034W,2,0.394,0.000,0.500
1329,385,YDL219W,2,0.394,0.000,0.500
1330,385,YLR114C,2,0.394,0.000,0.500
1331,385,YOR223W,2,0.394,0.000,0.500
1332,385,YDL091C,4,0.615,0.667,1.000
1333,386,YPL154C,0,1.000,0.000,1.000
1334,387,YCR093W,9,0.345,0.226,1.000
1335,387,YIL038C,8,0.340,0.004,0.889
1336,387,YPR072W,8,0.340,0.004,0.889
1337,387,YDL165W,8,0.340,0.004,0.889
1338,387,YFL028C,8,0.340,0.004,0.889
1339,387,YGR134W,8,0.340,0.004,0.889
1340,387,YNL288W,8,0.340,0.004,0.889
1341,388,YPL210C,7,0.384,0.031,1.000
1342,388,YDL092W,7,0.384,0.031,1.000
