,cluster,protein,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Eigenvector Centrality
1318,46,YMR125W,1.5430806348152435,0.0,0.5,0.7071067811839751
1319,46,YNR004W,1.0,0.0,0.0,2.697398304687405e-06
1320,47,YMR201C,94977318.33879979,0.005674220903009279,0.2153846153846154,0.08013006859418265
1321,47,YBR088C,365010890.49738955,0.01818895595891934,0.38461538461538464,0.15708529497209428
1322,47,YCR066W,144833420.94116333,0.03863025618455408,0.26153846153846155,0.09895028757420808
1323,47,YDL059C,274926152.7756316,0.0027146180916498906,0.27692307692307694,0.13632957274173138
1324,47,YJL092W,499877219.89729315,0.027357758429646058,0.46153846153846156,0.18382842856228557
1325,47,YML032C,896381358.9557055,0.043072058516035086,0.6307692307692307,0.24616618895428824
1326,47,YMR190C,973925157.9284396,0.10996782203201706,0.7230769230769232,0.2565927372728465
1327,47,YER095W,966469256.5416577,0.08886901596267763,0.6923076923076923,0.25560890267485953
1328,47,YDR363W,11200218.17426753,0.0,0.046153846153846156,0.027516596624437627
1329,47,YAR007C,523072253.01039183,0.054395133192729046,0.47692307692307695,0.18804509957812512
1330,47,YBR274W,221597065.53622895,0.0018923637984908394,0.24615384615384617,0.12239455633268659
1331,47,YER173W,238773832.46205455,0.0036005568529254104,0.27692307692307694,0.12704965377217875
1332,47,YPL153C,378897805.08277136,0.014233744380651153,0.4,0.16004442412715442
1333,47,YKL113C,537540614.8595183,0.013500768422035242,0.4461538461538462,0.19062852564049063
1334,47,YOR033C,695475962.1221026,0.04443652601424088,0.5384615384615385,0.21683181102013857
1335,47,YHR164C,381922615.3793182,0.01951864767097771,0.38461538461538464,0.16068236529943947
1336,47,YDR263C,22656014.79414182,0.00013327942763426633,0.07692307692307693,0.039135894611703796
1337,47,YMR167W,237646434.90663618,0.01577937485487433,0.3230769230769231,0.12675059870897962
1338,47,YOL090W,201875696.23982677,0.02408404796177833,0.3076923076923077,0.1168225700081989
1339,47,YGL163C,544502918.6527019,0.013673570047649648,0.4461538461538462,0.1918586045590204
1340,47,YDR004W,380250028.9810826,0.008537794171523769,0.35384615384615387,0.16033046816741495
1341,47,YBL088C,238147970.4568629,0.021814050950864423,0.3076923076923077,0.12688292979332336
1342,47,YBR073W,154979584.41519958,0.00015617301801512329,0.18461538461538463,0.10235720370075398
1343,47,YBR136W,664036821.0833585,0.03233741412792019,0.5384615384615385,0.21187349032907152
1344,47,YPL022W,530794949.5384689,0.05205019057744455,0.49230769230769234,0.189428872447158
1345,47,YHR154W,197126565.0035419,0.004909351051108892,0.26153846153846155,0.11543902563948648
1346,47,YOR346W,70423204.4531377,0.0008520179073063689,0.16923076923076924,0.06899871402578882
1347,47,YML095C,177715057.49086413,0.009180187342248671,0.26153846153846155,0.10960913618068943
1348,47,YDR386W,615266296.0732414,0.04604389837796659,0.5384615384615385,0.20394528530607658
1349,47,YPL167C,295048195.1369235,0.040505887036091426,0.3384615384615385,0.141230730173376
1350,47,YDR076W,110873801.03014222,0.0003637672634383161,0.16923076923076924,0.08657549379618511
1351,47,YLR234W,316372671.5872318,0.00563234044551207,0.3230769230769231,0.14624513107042297
1352,47,YER142C,538045.468726202,0.0,0.015384615384615385,0.0060310415210701775
1353,47,YDR217C,407662100.2754997,0.034605534705233844,0.4153846153846154,0.16600860489248312
1354,47,YDR419W,44363293.96797528,0.0005906132423383555,0.13846153846153847,0.054764137664756914
1355,47,YDR097C,230957161.82217708,0.012523032382368932,0.2923076923076923,0.12495398434330729
1356,47,YLR032W,176723408.06555945,0.007784544181255982,0.26153846153846155,0.10930225003074874
1357,47,YBR228W,189747982.75082773,0.002597365600531511,0.24615384615384617,0.11325865748328247
1358,47,YCR092C,180828271.77064747,0.007603185026722377,0.26153846153846155,0.11056509531221397
1359,47,YDR014W-A,1762430.6537551992,0.0,0.015384615384615385,0.01091537546229486
1360,47,YER041W,136015505.2042356,0.0013554417439926838,0.2,0.09589071900443204
1361,47,YOR144C,143008445.59314704,0.003234164822341862,0.2153846153846154,0.09832448359227616
1362,47,YMR224C,197720207.12271604,0.018050701299090793,0.24615384615384617,0.1156128457838414
1363,47,YOR368W,105933997.99045983,0.0012893843011312146,0.18461538461538463,0.08462475578759061
1364,47,YML061C,181805206.3051817,0.0005987132377975308,0.2153846153846154,0.1108623855722759
1365,47,YPL024W,225189699.1762514,0.003841660978993171,0.26153846153846155,0.12338324890060799
1366,47,YJR043C,214210658.66050377,0.002155072294242335,0.24615384615384617,0.12033791128814512
1367,47,YHR031C,105974097.08074267,0.00016507615191825717,0.15384615384615385,0.08464102883269435
1368,47,YBR098W,37391511.811466336,0.00046037296037296037,0.12307692307692308,0.05027678588378554
1369,47,YLR135W,40039862.644463584,0.0006378129548861255,0.12307692307692308,0.05202687923094154
1370,47,YLR288C,48774935.09436535,0.00044869715910927487,0.13846153846153847,0.057421736296907784
1371,47,YNL218W,5828773.509911694,0.0,0.046153846153846156,0.019850468083806944
1372,47,YOR191W,14904182.927506534,8.741258741258743e-05,0.06153846153846154,0.03174211948035652
1373,47,YNL082W,29330347.47406198,0.00016389860139860143,0.12307692307692308,0.044529253306229914
1374,47,YMR137C,12386059.319981402,0.00020818830490776193,0.06153846153846154,0.02893667317840708
1375,47,YAL019W,6591820.672036659,7.657937093420964e-05,0.046153846153846156,0.021109863403707595
1376,47,YDR499W,34807126.47858939,0.0,0.1076923076923077,0.04850778459295124
1377,47,YPL194W,40167988.96100777,0.0004744494287763518,0.13846153846153847,0.05210949790127214
1378,47,YOR258W,1.0000000000000002,0.0,0.0,1.96441491329708e-15
1379,47,YDL156W,953864.0872370562,0.0,0.015384615384615385,0.008030137106313064
1380,47,YLR035C,6191516.193975245,0.0,0.06153846153846154,0.020459085372541704
1381,47,YHR134W,0.9999999999999994,0.0,0.0,1.96441491329708e-15
1382,47,YAL027W,4665023.278068803,0.0,0.046153846153846156,0.017758802035005412
1383,47,YDR369C,1586258.2365695115,0.0,0.03076923076923077,0.010355300386628933
1384,47,YOL063C,3407901.2000137954,0.0,0.03076923076923077,0.015178368917553902
1385,47,YLR247C,264117.8173794931,0.0,0.015384615384615385,0.004225522855920853
1386,48,YMR061W,1.0,0.0,0.0,0.7071067811865476
1387,48,YIR001C,1.0,0.0,0.0,0.7071067811865476
1388,49,YOR048C,1.5430806348152435,0.0,0.5,0.7071067811839751
1389,49,YKR063C,1.0,0.0,0.0,2.697398304687405e-06
1390,49,YGL246C,1.5430806348152435,0.0,0.5,0.7071067811839751
1391,50,YER023W,31.273639950264425,0.0,0.625,0.36429208326964196
1392,50,YOR348C,2.558497933990232,0.0,0.125,0.07327654341520658
1393,50,YLR142W,37.648815573661565,0.3214285714285714,0.875,0.3990622625088355
1394,50,YDR300C,31.27363995026443,0.0,0.625,0.36429208326964196
1395,50,YHR037W,41.75931178656708,0.15476190476190474,0.875,0.42246350380695297
1396,50,YKL015W,6.635135501121368,0.0,0.25,0.15084953291717715
1397,50,YLR438W,37.33459656175859,0.047619047619047616,0.75,0.39906127797872676
1398,50,YOR323C,37.334596561758616,0.047619047619047616,0.75,0.39906127797872676
1399,50,YHR033W,12.871884199427512,0.0,0.375,0.22412410438498115
1400,51,YER125W,48.44152629027149,0.5052631578947369,0.75,0.5751652380304993
1401,51,YNR051C,0.9999999999999996,0.0,0.0,1.080698907334729e-13
1402,51,YDL122W,1.0,0.0,0.0,1.080698907334729e-13
1403,51,YOR138C,3.084422546842651,0.0,0.05,0.11564735722690685
1404,51,YMR171C,3.0844225468426516,0.0,0.05,0.11564735722690685
1405,51,YBL101C,6.853864359889889,0.0,0.1,0.2010789694699114
1406,51,YBR021W,3.084422546842651,0.0,0.05,0.11564735722690685
1407,51,YJL084C,13.317160107713383,0.007894736842105263,0.2,0.28805304120510133
1408,51,YOR322C,27.29173296382595,0.1131578947368421,0.4,0.4248901861299799
1409,51,YOR018W,10.393672704084844,0.0,0.15000000000000002,0.25168441671285346
1410,51,YLR392C,3.0844225468426507,0.0,0.05,0.11564735722690685
1411,51,YPR030W,3.0844225468426503,0.0,0.05,0.11564735722690685
1412,51,YML111W,5.701491734328806,0.0,0.1,0.17356538792371407
1413,51,YGR068C,3.0844225468426485,0.0,0.05,0.11564735722690685
1414,51,YPL176C,3.084422546842652,0.0,0.05,0.11564735722690685
1415,51,YFR022W,6.85386435988989,0.0,0.1,0.2010789694699114
1416,51,YKR021W,10.393672704084844,0.0,0.15000000000000002,0.25168441671285346
1417,51,YMR275C,10.798164953517833,0.0,0.15000000000000002,0.2589970001667186
1418,51,YDR525W-A,0.9999999999999997,0.0,0.0,1.080698907334729e-13
1419,51,YGR055W,2.386648989955987,0.0,0.05,0.08543161224311262
1420,51,YDL212W,0.9999999999999997,0.0,0.0,1.080698907334729e-13
1421,52,YGL058W,1.5430806348152435,0.0,0.25,0.7071067811846182
1422,52,YDL020C,1.0,0.0,0.0,1.3486991523449292e-06
1423,52,YDL074C,1.5430806348152435,0.0,0.25,0.7071067811846182
1424,52,YDR457W,1.0,0.0,0.0,1.3486991523449292e-06
1425,52,YGL017W,1.0,0.0,0.0,1.3486991523449292e-06
1426,53,YER151C,1.0,0.0,1.0,1.0
1427,54,YLR378C,36881.92023327692,0.09833396922689301,0.5,0.32698508382159935
1428,54,YDR086C,7814.787798227936,0.003630994328668748,0.20454545454545456,0.1503038725199831
1429,54,YAL058W,22644.626311928027,0.07691525076645087,0.4090909090909091,0.25600499320138587
1430,54,YGL022W,16083.749956090325,0.005963458358993741,0.29545454545454547,0.21509291838730615
1431,54,YOR254C,15854.608906487005,0.020172733069138988,0.3181818181818182,0.2139009880362562
1432,54,YCL043C,11538.545979225124,0.11570205278699253,0.38636363636363635,0.18157532892265252
1433,54,YCL001W,439.64838600150716,0.0002642706131078224,0.06818181818181818,0.03530370225364759
1434,54,YGR284C,6489.693467528632,0.011181735811756953,0.20454545454545456,0.13633406361030614
1435,54,YJL002C,15009.77302884134,0.0037335177569601152,0.2727272727272727,0.20780078544104708
1436,54,YMR214W,2518.300253854995,0.0032362663176616667,0.11363636363636365,0.08505513376606937
1437,54,YOR085W,14340.46697003278,0.01373049752138174,0.29545454545454547,0.20311595989209785
1438,54,YER019C-A,21519.61426266946,0.028461501742188224,0.34090909090909094,0.24974981983058991
1439,54,YKL073W,11218.873910965904,0.02704754395930866,0.29545454545454547,0.1795688355002376
1440,54,YDR518W,3748.40342670469,0.00949773240066736,0.18181818181818182,0.10328503766592498
1441,54,YHR204W,1179.2337782881966,0.0044972528059208814,0.09090909090909091,0.057811488212663215
1442,54,YJL034W,24347.770724701513,0.2951433701853426,0.6136363636363636,0.2642580928915192
1443,54,YML130C,3203.850090614267,0.048198292780745215,0.2272727272727273,0.09448625021842467
1444,54,YPL094C,10928.632600973398,0.0057016098770855655,0.25,0.17748798024630272
1445,54,YEL002C,27772.96486316038,0.07501039737390938,0.4090909090909091,0.2836408962207017
1446,54,YER087C-B,21365.046890403057,0.021716583827950574,0.34090909090909094,0.24883086452697206
1447,54,YDR304C,95.16963887293251,0.00035236081747709656,0.045454545454545456,0.016063360314440108
1448,54,YDR519W,195.66324131786263,0.007631128561361121,0.06818181818181818,0.02324448596392282
1449,54,YDL229W,1.0,0.0,0.0,1.7074913515873575e-26
1450,54,YBR287W,1.0000000000000004,0.0,0.0,1.7074913515873575e-26
1451,54,YOL031C,430.7001489050182,0.0,0.045454545454545456,0.034807836237631416
1452,54,YOR103C,13936.540875531204,0.0035726870029195606,0.2727272727272727,0.20011389407076569
1453,54,YBR171W,4802.255045445548,0.0,0.1590909090909091,0.11758874736998526
1454,54,YDL232W,12476.729756472692,0.0008418906674720627,0.25,0.18918338032870358
1455,54,YGL226C-A,8188.976874347087,0.0,0.20454545454545456,0.15292534462089946
1456,54,YKL100C,3486.50777495337,0.00010570824524312897,0.11363636363636365,0.1002738200251561
1457,54,YLR292C,4802.255045445548,0.0,0.1590909090909091,0.11758874736998526
1458,54,YML019W,10224.090850581786,0.0004077318030806403,0.2272727272727273,0.171087774696273
1459,54,YMR149W,8188.976874347087,0.0,0.20454545454545456,0.15292534462089946
1460,54,YPR037C,22.650136880404567,0.0,0.022727272727272728,0.0074102936147632465
1461,54,YBR219C,153.8364958600034,0.0,0.022727272727272728,0.02072487260322888
1462,54,YBR220C,153.8364958600034,0.0,0.022727272727272728,0.02072487260322888
1463,54,YFL031W,565.9405904081846,0.0,0.06818181818181818,0.03963691796015503
1464,54,YFR041C,496.6772866403893,0.0,0.045454545454545456,0.03750034985738786
1465,54,YHR079C,1276.5799930399467,0.0010570824524312895,0.11363636363636365,0.05956710517270562
1466,54,YIL005W,738.8520110122867,0.0002642706131078224,0.11363636363636365,0.04473444575418017
1467,54,YOR288C,932.1046781234011,0.0006871035940803383,0.11363636363636365,0.05042796495913533
1468,54,YOL088C,1227.9985570661468,0.001366656599214739,0.13636363636363635,0.057939194375139925
1469,54,YHR057C,95.1696388729353,0.00035236081747709656,0.045454545454545456,0.016063360314440108
