,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
460,72,YER021W,37,0.165,0.003,0.841
461,72,YDR427W,37,0.165,0.003,0.841
462,72,YIL075C,37,0.165,0.003,0.841
463,72,YLR421C,38,0.167,0.005,0.864
464,72,YBL041W,37,0.164,0.006,0.841
465,72,YGL011C,37,0.164,0.006,0.841
466,72,YFR004W,37,0.165,0.004,0.841
467,73,YJR066W,10,0.302,0.037,0.833
468,73,YHR186C,10,0.302,0.037,0.833
469,73,YJL058C,10,0.315,0.016,0.833
470,73,YNL006W,10,0.315,0.016,0.833
471,73,YOL078W,10,0.315,0.016,0.833
472,73,YMR068W,10,0.315,0.016,0.833
473,73,YER093C,10,0.315,0.016,0.833
474,74,YDR466W,1,0.707,0.000,1.000
475,74,YBL105C,1,0.707,0.000,1.000
476,75,YCR021C,2,0.577,0.000,1.000
477,75,YCR027C,2,0.577,0.000,1.000
478,75,YNL270C,2,0.577,0.000,1.000
479,76,YDL047W,0,1.000,0.000,1.000
480,77,YOR014W,10,0.235,0.103,0.476
481,77,YPR040W,9,0.232,0.005,0.429
482,77,YDR075W,11,0.281,0.010,0.524
483,77,YDR435C,11,0.272,0.020,0.524
484,77,YMR028W,10,0.243,0.017,0.476
485,78,YDR211W,5,0.405,0.000,0.833
486,78,YOR260W,5,0.405,0.000,0.833
487,78,YDR283C,5,0.405,0.000,0.833
488,78,YGR083C,5,0.405,0.000,0.833
489,78,YKR026C,5,0.405,0.000,0.833
490,79,YGR249W,0,0.500,0.000,0.000
491,79,YGL073W,0,0.500,0.000,0.000
492,79,YJR147W,0,0.500,0.000,0.000
493,79,YHR206W,0,0.500,0.000,0.000
494,80,YPL100W,8,0.199,0.003,0.333
495,80,YNL223W,11,0.257,0.017,0.458
496,80,YOL082W,12,0.228,0.085,0.500
497,80,YPR185W,10,0.236,0.014,0.417
498,80,YLR423C,9,0.213,0.007,0.375
499,80,YPL166W,10,0.229,0.013,0.417
500,80,YDR022C,8,0.203,0.004,0.333
501,81,YHR034C,6,0.350,0.123,0.667
502,81,YGR099W,6,0.362,0.044,0.667
503,82,YML121W,4,0.510,0.167,1.000
504,82,YGR163W,4,0.510,0.167,1.000
